Fecha,Origen,Modelo,Color,Descripcion,Talle,Cant.,Costo,Venta,PU Neto,%IIBB + Gast.,Ganancia,Para Local,Margen,GanD
17-abr,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",10990,"8.861,51",,"4587,59","4.587,59",107%,"4.587,59"
20-abr,ML,AULM080CNF,MA,Cuero Nobucado,XL,1,"3756,48",9590,"7528,27",,"3771,79","3.771,79",100%,"3.771,79"
29-abr,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",10990,"8.696,66",,"4422,74","4.422,74",103%,"4.422,74"
07-may,ML,Campera,,Suela a Medida,L,1,15000,26490,"26016,5",,"11016,5","5.508,25",37%,"5.508,25"
12-may,LOCAL,Campera,NE,Cuero - Carlos Venezolano,L,1,15000,30000,30000,,15000,"7.500,00",50%,"7.500,00"
12-may,Johnny,Campera,NE,Reversible,L,1,15000,30000,30000,,15000,"7.500,00",50%,"7.500,00"
12-may,Johnny,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",9000,9000,,"4726,08","2.363,04",55%,"2.363,04"
15-may,ML,AULM080CNF,NE,Cuero Nobucado,L,1,"3756,48",9590,"7527,66",,"3771,18","3.771,18",100%,"3.771,18"
19-may,ML,AULM080CNF,VE,Cuero Nobucado,L,1,"3756,48",9990,"8011,51",,"4255,03","4.255,03",113%,"4.255,03"
20-may,ML,AULM080CNF,NE,Cuero Nobucado,M,1,"3756,48",9990,"7.811,71",,"4055,23","4.055,23",108%,"4.055,23"
24-may,Johnny,Campera,,Negra Mujer,,1,13000,23000,23000,,10000,"5.000,00",38%,"5.000,00"
02-jun,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",12990,10000,"519,6","5206,48","5.206,48",122%,"5.206,48"
03-jun,LOCAL,SO_CARPINCHO,,Sombrero Sim-Carpincho,,1,3900,8000,8000,,4100,"4.100,00",105%,|
06-jun,Johnny,PatosAlta,,Vino Los Patos Alta colección,,1,900,1800,1800,,900,450,50%,450
13-jun,ML,Campera,,Negra Hombre,XL,1,16000,31990,26684,"1279,6","9404,4","4.702,20",29%,"4.702,20"
15-jun,ML,Campera,,Suela,L,1,13500,28990,23699,"1159,6","9039,4","4.519,70",33%,"4.519,70"
20-jun,ML,Campera,,Suela,L,1,13500,35990,"24685,51","1439,6","9745,91","4.872,96",36%,"4.872,96"
30-jun,ML,AULM080CEF,,Cuero Engrasado,L,1,5500,13990,"11411,51","559,6","5351,91","5.351,91",97%,"5.351,91"
30-jun,ML,Campera,,Suela,M,1,13500,29990,25011,"1199,6","10311,4","5.155,70",38%,"5.155,70"
03-jul,ML,Campera,,Acolchada Azul,XL,1,17000,35990,"24.145,66","1439,6","5706,06","2.853,03",17%,"2.853,03"
08-jul,ML,Campera,,Hombre,,1,16000,30000,30000,0,14000,"7.000,00",44%,"7.000,00"
11-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10901,51","535,6","4160,18","4.160,18",67%,"4.160,18"
12-jul,IG,BoinaLana,,,L,1,1900,3500,3500,,1600,"1.600,00",84%,"1.600,00"
18-jul,LOCAL,Camp. Hombre Brasilero,,,,1,17000,33000,33000,,16000,"8.000,00",47%,"8.000,00"
18-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
20-jul,ML,AULM080CNF,,Cuero Nobuk,M,1,5493,12990,10561,"519,6","4548,4","4.548,40",83%,"4.548,40"
22-jul,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
24-jul,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
26-jul,IG/ML,Campera tipo suela,,MADEL-Tostado claro,XL,1,17500,32990,30300,"1319,6","11480,4","5.740,20",33%,"5.740,20"
27-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
27-jul,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
27-jul,IG,Campera a Medida,,Yeya,XL,1,15000,34500,34000,,19000,"9.500,00",63%,"9.500,00"
29-jul,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
29-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
02-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
04-ago,LOCAL,,,MEX.Camp Hombre,,1,17000,32000,32000,,15000,"7.500,00",44%,"7.500,00"
04-ago,LOCAL,,,MEX.Camp Mujer,,1,15000,30000,30000,,15000,"7.500,00",50%,"7.500,00"
04-ago,LOCAL,,,Pashmina,,1,1800,3500,3500,,1700,"1.700,00",94%,"1.700,00"
07-ago,ML,AULM080CEF,,Cuero Engrasado,S,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
09-ago,MS,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",12990,"11.077,59","519,6","4352,26","4.352,26",70%,"4.352,26"
12-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
13-ago,LOCAL,,,Adriana,,1,17000,28000,28000,,11000,"5.500,00",32%,"5.500,00"
13-ago,LOCAL,,,Adriana,,1,17000,28000,28000,,11000,"5.500,00",32%,"5.500,00"
14-ago,ML,AULM080CEF,,Cuero Engrasado,S,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
14-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
16-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
20-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
21-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
21-ago,ML,AULM080CNF,NA,Cuero Nobuk,S,1,"5492,594615",12990,"10.204,16","519,6","4191,97","4.191,97",76%,"4.191,97"
22-ago,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
24-ago,LOCAL,Vendio Papa,,Campera Hombre,S,1,17000,35000,35000,,18000,"9.000,00",53%,"9.000,00"
24-ago,LOCAL,Vendio Papa,,Billetera,,1,1250,2500,2500,,1250,"1.250,00",100%,"1.250,00"
24-ago,LOCAL,,,Billetera,,1,1250,2500,2500,,1250,625,50%,625
24-ago,LOCAL,,,Billetera,,1,1250,2500,2500,,1250,625,50%,625
24-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
24-ago,ML,AULM080CEF,,Cuero Engrasado,S,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
24-ago,LOCAL,,,Cinturon,,,,,,,1000,500,#¡DIV/0!,500
27-ago,LOCAL,,,Billetera J,,,,,,,1000,500,#¡DIV/0!,500
27-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
29-ago,ML,AULM080CEF,NE,Cuero Eng. NEGRO,M,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
29-ago,LOCAL,AULM080CNF,NA,Cuero Nobuk,L,1,"5492,594615",10000,"10.000,00",0,"4507,41","2.253,70",41%,"2.253,70"
31-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
31-ago,IG/ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",12990,"10.882,74","519,6","4157,41","4.157,41",67%,"4.157,41"
31-ago,IG/ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",12990,"10.882,74","519,6","4157,41","4.157,41",67%,"4.157,41"
31-ago,LOCAL,,,Sombrero C.E. Generico,,1,4250,8500,"8.500,00",,4250,"2.125,00",50%,"2.125,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,S,1,7260,13390,"10.538,16","535,6","2742,56","1.371,28",19%,"1.371,28"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
01-sep,ML,AULM080CEF,,Cuero Engrasado,L,1,7260,12000,"12.000,00",,4740,"2.370,00",33%,"2.370,00"
02-sep,ML,AULM080CNF,NA,Cuero Nobuk,L,1,6655,12990,"10.399,01","519,6","3224,41","3.224,41",48%,"3.224,41"
06-sep,ML,AULM080CNF,NA,Cuero Nobuk,M,1,6655,13990,"10.969,21","559,6","3754,61","3.754,61",56%,"3.754,61"
10-sep,ML,AULM080CNF,NA,Cuero Nobuk,S,1,6655,13990,"11.249,01","559,6","4034,41","4.034,41",61%,"4.034,41"
12-sep,ML,AULM080CNF,MA,Cuero Nobuk,S,1,6655,13990,"11.249,01","559,6","4034,41","4.034,41",61%,"4.034,41"
12-sep,ML,AULM080CEF,NE,Cuero Engrasado,M,1,7260,14590,"11.759,01","583,6","3915,41","3.915,41",54%,"3.915,41"
12-sep,ML,AULM080CNF,NA,Cuero Nobuk,XL,1,6655,13990,"11.249,01","559,6","4034,41","4.034,41",61%,"4.034,41"
19-sep,,AULM080CNF,NA,Cuero Nobuk,XL,1,6655,10000,"10.000,00",,3345,"1.672,50",25%,"1.672,50"
23-sep,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7260,13490,"10.824,01","539,6","3024,41","3.024,41",42%,"3.024,41"
25-sep,ML,AULM080CNF,NA,Cuero Nobuk,L,1,6655,12990,"10.399,01","519,6","3224,41","3.224,41",48%,"3.224,41"
26-sep,Local,,,Cartera 2 cierres,,1,10335,14000,14000,,3665,"3.665,00",35%,"3.665,00"
28-sep,ML,AULM080CEF,NE,Cuero Engrasado,XL,1,7260,13490,"10.824,01","539,6","3024,41","3.024,41",42%,"3.024,41"
28-sep,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7260,13490,"10.824,01","539,6","3024,41","3.024,41",42%,"3.024,41"
03-oct,ML,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",8990,"6.864,16","359,6","2693,06","2.693,06",71%,"2.693,06"
03-oct,ML,AULM080CNF,MA,Cuero Nobuk,XS,1,"6904,26",12990,"10.399,01","519,6","2975,15","2.975,15",43%,"2.975,15"
03-oct,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,13490,"10.824,01","539,6","2329,41","2.329,41",29%,"2.329,41"
04-oct,ML,AULM080CNF,NA,Cuero Nobuk,L,1,"6904,26",13390,"10.739,01","535,6","3299,15","3.299,15",48%,"3.299,15"
05-oct,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",13990,"11.039,16","559,6","3575,3","3.575,30",52%,"3.575,30"
05-oct,ML,AULM080AVF,NA,Algodón Ventilado,L,1,"3811,5",8990,"6.999,01","359,6","2827,91","2.827,91",74%,"2.827,91"
09-oct,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,15490,"12.291,66","619,6","3717,06","3.717,06",47%,"3.717,06"
11-oct,ML,AULM080CNF,NA,Cuero Nobuk,XL,1,"6904,26",13990,"11.039,16","559,6","3575,3","3.575,30",52%,"3.575,30"
11-oct,ML,AULM080CEF,NE,Cuero Engrasado,XL,1,7955,15490,"12.524,01","619,6","3949,41","3.949,41",50%,"3.949,41"
11-oct,ML,,NE,Boina De Hilo,59,1,1780,4890,"4.036,50","195,6","2060,9","2.060,90",116%,"2.060,90"
12-oct,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",13990,"11.249,01","559,6","3785,15","3.785,15",55%,"3.785,15"
13-oct,ML,AULM080CEF,NE,Cuero Engrasado,L,1,7955,16490,"13.374,01","659,6","4759,41","4.759,41",60%,"4.759,41"
15-oct,ML,AULM080CEF,NE,Cuero Engrasado,XL,1,7955,16490,"13.374,01","659,6","4759,41","4.759,41",60%,"4.759,41"
17-oct,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",13990,"11.039,16","559,6","3575,3","3.575,30",52%,"3.575,30"
18-oct,LOCAL,Campera,,Ploter,,1,18000,38000,38000,,20000,"10.000,00",56%,"10.000,00"
19-oct,LOCAL,Campera,,Tano,,1,20000,38600,38600,,18600,"9.300,00",47%,"9.300,00"
20-oct,LOCAL,Campera,,Encarg. Libertador,,1,20000,40000,40000,,20000,"10.000,00",50%,"10.000,00"
23-oct,ML,AULM080CEF,MA,Cuero Engrasado,XXL,1,7955,16850,"13.680,01",674,"5051,01","5.051,01",63%,"5.051,01"
24-oct,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",14990,"12.099,01","599,6","4595,15","4.595,15",67%,"4.595,15"
25-oct,ML,AULM080AVF,NA,Algodón Ventilado,L,1,"3811,5",7991,"6.149,86","319,64","2018,72","2.018,72",53%,"2.018,72"
27-oct,IG,,,Gorro Rafia IT,L,1,2750,9000,"9.000,00",,6250,"6.250,00",227%,"6.250,00"
27-oct,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"6.149,86","319,64","2018,72","2.018,72",53%,"2.018,72"
28-oct,LOCAL,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,13500,"12.150,00",,4195,"4.195,00",53%,"4.195,00"
29-oct,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",14990,"12.099,01","599,6","4595,15","4.595,15",67%,"4.595,15"
30-oct,ML,AULM080CNF,NA,Cuero Nobuk,XL,1,"6904,26",14590,"12.600,31","583,6","5112,45","5.112,45",74%,"5.112,45"
31-oct,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"6.149,86","319,64","2018,72","2.018,72",53%,"2.018,72"
31-oct,ML,AULM080CEF,MA,Cuero Engrasado,L,1,7955,16850,"13.427,26",674,"4798,26","4.798,26",60%,"4.798,26"
31-oct,Johnny,,,Camperas,,2,37000,78000,"65.000,00",,28000,"14.000,00",38%,"14.000,00"
02-nov,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,16850,"13.511,51",674,"4882,51","4.882,51",61%,"4.882,51"
02-nov,ML,AULM080CEF,NE,Cuero Engrasado,L,1,7955,16850,"13.258,76",674,"4629,76","4.629,76",58%,"4.629,76"
03-nov,ML,AULM080CEF,NE,Cuero Engrasado,XL,1,7955,16850,"13.511,51",674,"4882,51","4.882,51",61%,"4.882,51"
03-nov,ML,AULM080CEF,NE,Cuero Engrasado,L,1,7955,16850,"13.511,51",674,"4882,51","4.882,51",61%,"4.882,51"
03-nov,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",14990,"11.949,11","599,6","4445,25","4.445,25",64%,"4.445,25"
04-nov,Local,JUANI,,Campera Hombre,,1,18500,38000,"34.200,00",,15700,"7.850,00",42%,"7.850,00"
04-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"6.069,95","319,64","1938,81","1.938,81",51%,"1.938,81"
04-nov,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,16850,"13.511,51",674,"4882,51","4.882,51",61%,"4.882,51"
04-nov,ML,AULM080AVF,TO,Algodón Ventilado,L,1,"3811,5",7991,"6.069,95","319,64","1938,81","1.938,81",51%,"1.938,81"
05-nov,ML,AULM080CNF,NA,Cuero Nobuk,L,1,"6904,26",14990,"11.949,11","599,6","4445,25","4.445,25",64%,"4.445,25"
05-nov,ML,,NE,Boina De Hilo,57,1,1780,4890,"3.979,10","195,6","2003,5","2.003,50",113%,"2.003,50"
06-nov,ML,AULM080CEF,MA,Cuero Engrasado,XXL,1,7955,16850,"13.258,76",674,"4629,76","4.629,76",58%,"4.629,76"
07-nov,ML,AULM080AVF,BL,Algodón Ventilado,L,1,"3811,5",7991,"6.069,95","319,64","1938,81","1.938,81",51%,"1.938,81"
07-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"5.910,13","319,64","1778,99","1.778,99",47%,"1.778,99"
08-nov,ML,AULM080CEF,MA,Cuero Engrasado,XXL,1,7955,16850,"13.174,51",674,"4545,51","4.545,51",57%,"4.545,51"
08-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"6.069,95","319,64","1938,81","1.938,81",51%,"1.938,81"
08-nov,ML,AULM080CEF,NE,Cuero Engrasado,XL,1,7955,16850,"13.511,51",674,"4882,51","4.882,51",61%,"4.882,51"
09-nov,ML,AULM080CEF,NE,Cuero Engrasado,S,1,7955,16850,"13.148,76",674,"4519,76","4.519,76",57%,"4.519,76"
09-nov,ML,AULM080CEF,NE,Cuero Engrasado,XL,1,7955,16850,"13.148,76",674,"4519,76","4.519,76",57%,"4.519,76"
09-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"5.840,08","319,64","1708,94","1.708,94",45%,"1.708,94"
10-nov,ML,,NE,Boina De Hilo,58,1,1780,4890,"3968,25","195,6","1992,65","1.992,65",112%,"1.992,65"
10-nov,ML,AULM080AVF,BL,Algodón Ventilado,XL,1,"3811,5",7991,"5.840,08","319,64","1708,94","1.708,94",45%,"1.708,94"
12-nov,ML,AULM080CEF,MA,Cuero Engrasado,M,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
12-nov,ML,AULM080AVF,BL,Algodón Ventilado,S,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
12-nov,ML,AULM080CEF,NE,Cuero Engrasado,M,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
12-nov,ML,AULM080CEF,MA,Cuero Engrasado,M,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
13-nov,ML,AULM080AVF,BL,Algodón Ventilado,S,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
13-nov,ML,AULM080CEF,MA,Cuero Engrasado,S,1,7955,16850,"14.154,00",674,5525,"5.525,00",69%,"5.525,00"
13-nov,ML,AULM080CEF,MA,Cuero Engrasado,S,1,7955,16850,"13.148,76",674,"4519,76","4.519,76",57%,"4.519,76"
13-nov,ML,AULM080CNF,NA,Cuero Nobuk,XL,1,"6904,26",14990,"11.614,26","599,6","4110,4","4.110,40",60%,"4.110,40"
14-nov,ML,AULM080CEF,MA,Cuero Engrasado,L,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
14-nov,ML,AULM080AVF,BL,Algodón Ventilado,L,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
15-nov,ML,AULM080CNF,NA,Cuero Nobuk,L,1,"6904,26",14990,"11.839,11","599,6","4335,25","4.335,25",63%,"4.335,25"
16-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"5.840,08","319,64","1708,94","1.708,94",45%,"1.708,94"
16-nov,ML,AULM080AVF,BL,Algodón Ventilado,L,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
16-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
17-nov,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
18-nov,ML,AULM080AVF,BL,Algodón Ventilado,M,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
21-nov,ML,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",7991,"5.840,08","319,64","1708,94","1.708,94",45%,"1.708,94"
21-nov,ML,AULM080AVF,NA,Algodón Ventilado,M,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
22-nov,ML,AULM080CEF,MA,Cuero Engrasado,L,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
22-nov,ML,AULM080AVF,NA,Algodón Ventilado,M,1,"3811,5",7991,"5.819,50","319,64","1688,36","1.688,36",44%,"1.688,36"
23-nov,ML,AULM080CNF,MA,Cuero Nobuk,L,1,"6904,26",14990,"11.839,11","599,6","4335,25","4.335,25",63%,"4.335,25"
23-nov,ML,AULM080AVF,NA,Algodón Ventilado,M,1,"3811,5",7991,"5.840,08","319,64","1708,94","1.708,94",45%,"1.708,94"
24-nov,ML,AULM080CEF,NE,Cuero Engrasado,L,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
24-nov,ML,AULM080CEF,MA,Cuero Engrasado,M,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
25-nov,ML,AULM080CEF,MA,Cuero Engrasado,L,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
25-nov,ML,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",7991,"5.840,08","319,64","1708,94","1.708,94",45%,"1.708,94"
26-nov,ML,AULM080AVF,NA,Algodón Ventilado,S,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
26-nov,ML,AULM080AVF,NA,Algodón Ventilado,S,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
27-nov,ML,AULM080AVF,NA,Algodón Ventilado,L,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
28-nov,ML,AULM080AVF,TO,Algodón Ventilado,XL,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
28-nov,IG,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",8500,"7.134,89",,"3323,39","3.323,39",87%,"3.323,39"
28-nov,ML,AULM080CEF,MA,Cuero Engrasado,M,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
29-nov,ML,AULM080CEF,NE,Cuero Engrasado,S,1,7955,16850,"13.401,51",674,"4772,51","4.772,51",60%,"4.772,51"
30-nov,ML,AULM080AVF,NA,Algodón Ventilado,XL,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
30-nov,ML,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",7991,"5.959,95","319,64","1828,81","1.828,81",48%,"1.828,81"
01-dic,ML,AULM080AVF,TO,Algodón Ventilado,XL,1,"3811,5",7991,"5.951,96","319,64","1820,82","1.820,82",48%,"1.820,82"
01-dic,ML,CUERO ENG,MA,Cuero Engrasado,M,1,7000,14990,"11.824,12","599,6","4224,52","4.224,52",60%,"4.224,52"
01-dic,ML,AULM080AVF,NA,Algodón Ventilado,L,1,"3811,5",7991,"5.951,96","319,64","1820,82","1.820,82",48%,"1.820,82"
01-dic,ML,AULM080AVF,NA,Algodón Ventilado,S,1,"3811,5",7991,"5.951,96","319,64","1820,82","1.820,82",48%,"1.820,82"
01-dic,ML,AULM080AVF,TO,Algodón Ventilado,S,1,"3811,5",7991,"5.951,96","319,64","1820,82","1.820,82",48%,"1.820,82"
02-dic,ML,,RO,Boina De Hilo,59,1,2000,4890,"3.968,36","195,6","1772,76","1.772,76",89%,"1.772,76"
02-dic,ML,AULM080CEF,NE,CUERO ENG,M,1,7955,16850,"13.384,66",674,"4755,66","4.755,66",60%,"4.755,66"
02-dic,ML,AULM080CEF,NE,Cuero Engrasado,M,1,7955,16850,"13.384,66",674,"4755,66","4.755,66",60%,"4.755,66"
02-dic,ML,AULM080CEF,MA,Cuero Engrasado,XXL,1,7955,16850,"13.384,66",674,"4755,66","4.755,66",60%,"4.755,66"
03-dic,ML,AULM080CNF,NA,Cuero Nobuk,M,1,"6904,26",14990,"11.599,27","599,6","4095,41","4.095,41",59%,"4.095,41"
03-dic,ML,AULM080CNF,MA,Cuero Nobuk,L,1,"6904,26",14990,"11.599,27","599,6","4095,41","4.095,41",59%,"4.095,41"
04-dic,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,16850,"13.384,66",674,"4755,66","4.755,66",60%,"4.755,66"
04-dic,ML,AULM080AVF,TO,Algodón Ventilado,XL,1,"3811,5",8.590,"6.454,52","343,6","2299,42","2.299,42",60%,"2.299,42"
05-dic,ML,AULM080CNF,NA,Cuero Nobuk,L,1,"6904,26",14990,"11.824,12","599,6","4320,26","4.320,26",63%,"4.320,26"
05-dic,ML,AULM080CEF,MA,Cuero Engrasado,M,1,7955,16850,"14.137,15",674,"5508,15","5.508,15",69%,"5.508,15"
05-dic,ML,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",8.590,"6.454,52","343,6","2299,42","2.299,42",60%,"2.299,42"
05-dic,IG,PALM100PAF,NA,Panama Pampa Ala 10,XL,1,"14987,181",28.500,"27.075,00",,"12087,82","12.087,82",81%,"12.087,82"
06-dic,ML,AULM080AVF,NA,Algodón Ventilado,M,1,"3811,5",8.590,"6.454,52","343,6","2299,42","2.299,42",60%,"2.299,42"
06-dic,ML,AULM080AVF,TO,Algodón Ventilado,XXL,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
06-dic,ML,AULM080CEF,NE,Cuero Engrasado,S,1,7955,"17.290,00","13.749,50","691,6","5102,9","5.102,90",64%,"5.102,90"
07-dic,IG,PALM100PAF,NA,Panama Pampa Ala 8,XL,1,"13768,711",28.500,"27.075,00",,"13306,29","13.306,29",97%,"13.306,29"
08-dic,ML,AULM080AVF,TO,Algodón Ventilado,M,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
09-dic,ML,AULM080AVF,NA,Algodón Ventilado,S,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
09-dic,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,7955,"17.290,00","13.749,50","691,6","5102,9","5.102,90",64%,"5.102,90"
09-dic,ML,AULM080AVF,TO,Algodón Ventilado,L,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
10-dic,ML,AULM080AVF,TO,Algodón Ventilado,L,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
10-dic,ML,AULM080AVF,TO,Algodón Ventilado,XL,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
10-dic,ML,AULM080AVF,TO,Algodón Ventilado,XXL,1,"3811,5",8.590,"6.452,37","343,6","2297,27","2.297,27",60%,"2.297,27"
