Fecha,Origen,Modelo,Color,Descripcion,Talle,Cant.,Costo,Venta,PU Neto,%IIBB + Gast.,Ganancia,Para Local,Margen,GanD
07-may,ML,AULM080CNF,NA,Cuero Nobuk,XXL,1,"60806,13","116.299,00","$ 91.934,47","13955,88","17172,46","17.172,46",22%,"17.172,46"
10-may,ML,AULM080AVF,NA,Alg. Vent. Australiano,L,1,"24156,44","61.598,88","$ 45.005,83","7391,8656","13457,52","13.457,52",28%,"13.457,52"
11-may,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",M,1,"30711,01","76.158,88","$ 58.174,34","9139,0656","18324,26","18.324,26",31%,"18.324,26"
12-may,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",S,1,"30711,01","76.158,88","$ 56.651,16","9139,0656","16801,08","16.801,08",29%,"16.801,08"
12-may,ML,AULM080AVF,TO,Alg. Vent. Australiano,L,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",30%,"14.381,50"
13-may,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XXL,1,"30711,01","76.158,88","$ 58.176,62","9139,0656","18326,54","18.326,54",31%,"18.326,54"
14-may,ML,,,Delantal Cuero,,1,39800,"86238,88","67.551,40","10348,6656","17402,73","17.402,73",28%,"17.402,73"
14-may,ML,AULM080CEF,MA,Cuero Engrasado,L,0,0,0,"$ 0,00",0,0,-,#¡DIV/0!,-
14-may,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XXL,1,"30711,01","76.158,88","$ 57.031,96","9139,0656","17181,88","17.181,88",29%,"17.181,88"
16-may,ML,KEBLM000RCE,TO,Gorra KENT Rafia+Caja,M,1,23716,"58.238,88","$ 43.738,65","6.988,67","13033,98","13.033,98",29%,"13.033,98"
18-may,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,"69813,37","148.780,00","$ 119.246,53","17853,6","31579,56","31.579,56",29%,"31.579,56"
19-may,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",XXL,1,"28253,5","68.318,88","$ 51.581,13","8198,2656","15129,36","15.129,36",29%,"15.129,36"
20-may,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",L,1,"30711,01","76.158,88","$ 57.031,96","9139,0656","17181,88","17.181,88",29%,"17.181,88"
23-may,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XL,1,"30711,01","76.158,88","$ 58.174,34","9139,0656","18324,26","18.324,26",31%,"18.324,26"
24-may,ML,KELM000PLE,NE,Gorra KENT Paño de Lana,XXL,1,34485,"57.999,00","$ 43.061,44","6959,88","1616,56","1.616,56",9%,"1.616,56"
26-may,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"69813,37","155.700,00","$ 125.066,04",18684,"36568,67","36.568,67",31%,"36.568,67"
28-may,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 51.581,13","8198,2656","15129,36","15.129,36",29%,"15.129,36"
30-may,ML,AULM080CNF,NA,Cuero Nobuk,XXL,1,"60806,13","116.299,00","$ 90.756,38","13955,88","15994,37","15.994,37",21%,"15.994,37"
01-jun,ML,AULM080CEF,NE,Cuero Engrasado,XL,0,0,0,"$ 0,00",0,0,-,#¡DIV/0!,-
01-jun,LOCAL,AULM080CEF,NE,Cuero Engrasado,XL,0,0,0,"$ 0,00",,0,-,#¡DIV/0!,-
01-jun,LOCAL,AULM080FLF,VE,AUSTR. FIELTRO LANA,XL,1,65100,"163.900,00","$ 155.705,00",,90605,"90.605,00",54%,"90.605,00"
01-jun,LOCAL,AULM080FLF,VE,AUSTR. FIELTRO LANA,XL,1,65100,"163.900,00","$ 155.705,00",,90605,"90.605,00",54%,"90.605,00"
